RA Master,,,,,,,
Level,Operator,Circle,LRN,Model,ROUTING DETAILS,HLR Detail,Sub Level
8019,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
8050,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
8051,VODAFONE,BH,4126,GSM,Please route Through BTSL (AES),HLR5,
8052,VODAFONE,UE,4104,GSM,Please route Through BTSL (AES),HLR1,
8053,VODAFONE,HR,4102,GSM,Please route Through BTSL (AES),HLR1,
8054,VODAFONE,PB,4122,GSM,Please route Through BTSL (AES),HLR2,
8055,RELIANCE_GSM,MH,3137,GSM,Please route Through BTSL (AES),HLR2,
8056,AIRTEL,TN,3020,GSM,Please route Through BTSL (AES),HLR1,
8057,IDEA,UW,3083,GSM,Please route Through BTSL (AES),HLR1,
8058,IDEA,RJ,3080,GSM,Please route Through BTSL (AES),HLR1,
8059,IDEA,HR,3068,GSM,Please route Through BTSL (AES),HLR1,
8080,RELIANCE_GSM,MB,3138,GSM,Please route Through BTSL (AES),HLR2,
8081,RELIANCE_GSM,UE,3142,GSM,Please route Through BTSL (AES),HLR1,
8082,LOOP,MB,3026,GSM,Please route Through BTSL (AES),HLR2,
8083,AIRCEL,BH,3049,GSM,Please route Through BTSL (AES),HLR5,
8084,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),80840-8 HLR4 & 80849 HLR5,
8085,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),HLR3,
8086,VODAFONE,KL,3579,GSM,Please route Through BTSL (AES),HLR1,
8087,TATA_GSM,MH,3281,GSM,Please route Through BTSL (AES),HLR2,
8088,RELIANCE_GSM,KA,3135,GSM,Please route Through BTSL (AES),HLR2,
8089,TATA_GSM,KL,3293,GSM,Please route Through BTSL (AES),HLR1,
8090,TATA_GSM,UE,3401,GSM,Please route Through BTSL (AES),HLR1,
8091,TATA_GSM,HP,3290,GSM,Please route Through BTSL (AES),HLR1,
8092,TATA_GSM,BH,3285,GSM,Please route Through BTSL (AES),HLR5,
8093,TATA_GSM,OR,3297,GSM,Please route Through BTSL (AES),HLR1,
8094,VODAFONE,RJ,4103,GSM,Please route Through BTSL (AES),HLR1,
8095,VODAFONE,KA,4121,GSM,Please route Through BTSL (AES),HLR2,
8096,IDEA,AP,3064,GSM,Please route Through BTSL (AES),HLR2,
8097,TATA_GSM,MB,3282,GSM,Please route Through BTSL (AES),HLR2,
8098,VODAFONE,TN,4101,GSM,Please route Through BTSL (AES),CH HLR1,
8099,RELIANCE_GSM,AP,3130,GSM,Please route Through BTSL (AES),HLR2,
8100,RELIANCE_GSM,KO,3147,GSM,Please route Through BTSL (AES),HLR1,
8101,RELIANCE_GSM,WB,3151,GSM,Please route Through BTSL (AES),HLR3,
8102,RELIANCE_GSM,BH,3145,GSM,Please route Through BTSL (AES),HLR5,
8103,RELIANCE_GSM,MP,3148,GSM,Please route Through BTSL (AES),HLR3,
8104,MTS,RJ,3201,CDMA,Please route Through BTSL (AES),HLR1,
8105,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),HLR2,
8106,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),HLR3,
8107,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR1,
8108,IDEA,MB,3076,GSM,Please route Through BTSL (AES),HLR2,
8109,TATA_GSM,MP,3295,GSM,Please route Through BTSL (AES),HLR3,
8120,IDEA,MP,3074,GSM,Please route Through BTSL (AES),HLR3,
8121,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
8122,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
8123,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
8124,IDEA,TN,3081,GSM,Please route Through BTSL (AES),CH HLR1,
8125,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
8126,AIRTEL,UW,3022,GSM,Please route Through BTSL (AES),HLR1,
8127,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),HLR2,
8128,AIRTEL,GJ,2728,GSM,Please route Through BTSL (AES),81280-1  HLR1 &  81282-9 HLR3,
8129,AIRTEL,KL,3003,GSM,Please route Through BTSL (AES),HLR1,
8140,IDEA,GJ,3067,GSM,Please route Through BTSL (AES),HLR3,
8141,VODAFONE,GJ,4106,GSM,Please route Through BTSL (AES),HLR3,
8142,VODAFONE,AP,4109,GSM,Please route Through BTSL (AES),HLR2,
8143,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
8144,RELIANCE_GSM,TN,3141,GSM,Please route Through BTSL (AES),CH HLR1,
8145,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
8146,AIRTEL,PB,3009,GSM,Please route Through BTSL (AES),HLR2,
8147,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
8148,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
8149,TATA_GSM,MH,3281,GSM,Please route Through BTSL (AES),HLR2,
8287,Reliance_GSM,DL,3131,GSM,Please route Through BTSL (AES),HLR2,
8290,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR1,
8291,UNINOR,MB,3505,GSM,Please route Through BTSL (AES),HLR2,
8293,TATA_GSM,WB,3403,GSM,Please route Through BTSL (AES),HLR3,
8294,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),HLR6,
8295,AIRTEL,HR,2729,GSM,Please route Through BTSL (AES),HLR1,
8296,UNINOR,KO,3504,GSM,Please route Through BTSL (AES),HLR1,
8297,Vodafone,AP,4109,GSM,Please route Through BTSL (AES),HLR2,
8298,Vodafone,BH,4126,GSM,Please route Through BTSL (AES),HLR5,
8302,Reliance_GSM,RJ,3140,GSM,Please route Through BTSL (AES),HLR1,
8303,Reliance_GSM,UE,3142,GSM,Please route Through BTSL (AES),HLR1,
8305,Reliance_GSM,MP,3148,GSM,Please route Through BTSL (AES),HLR3,
8306,Reliance_GSM,GJ,3132,GSM,Please route Through BTSL (AES),HLR3,
8307,Reliance_GSM,UW,3143,GSM,Please route Through BTSL (AES),HLR1,
8308,Idea,MH,3075,GSM,Please route Through BTSL (AES),HLR2,
8348,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
8349,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),83490-4 HLR1  &  83495-9  HLR3,
8374,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),HLR1,
8390,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
8400,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),84000-4 HLR2  &  84005-9  HLR3,
8401,UNINOR,GJ,3576,GSM,Please route Through BTSL (AES),HLR3,
8409,UNINOR,BH,3499,GSM,Please route Through BTSL (AES),HLR5,
8410,AIRCEL,UW,3060,GSM,Please route Through BTSL (AES),HLR1,
8420,AIRTEL,KO,3004,GSM,Please route Through BTSL (AES),HLR2,
8421,UNINOR,MH,3578,GSM,Please route Through BTSL (AES),HLR2,
8423,UNINOR,UE,3502,GSM,Please route Through BTSL (AES),HLR1,
8427,AIRTEL,PB,3009,GSM,Please route Through BTSL (AES),HLR2,
8428,VEDIOCON,TN,3044,GSM,Please route Through BTSL (AES),CH HLR1,
8429,RELIANCE_CDMA,UE,3127,CDMA,Please route Through BTSL (AES),HLR1,
8430,RELIANCE_GSM,UW,3143,GSM,Please route Through BTSL (AES),HLR1,
8431,RELIANCE_GSM,KA,3135,GSM,Please route Through BTSL (AES),HLR2,
8432,MTS,RJ,3201,CDMA,Please route Through BTSL (AES),HLR1,
8433,MTS,MB,3183,CDMA,Please route Through BTSL (AES),HLR2,
8434,MTS,BH,3162,CDMA,Please route Through BTSL (AES),HLR5,
8435,IDEA,MP,3074,GSM,Please route Through BTSL (AES),HLR3,
8436,UNINOR,WB,3503,GSM,Please route Through BTSL (AES),HLR3,
8437,IDEA,PB,3207,GSM,Please route Through BTSL (AES),HLR2,
8438,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
8439,TATA_GSM,UW,3402,GSM,Please route Through BTSL (AES),HLR1,
8445,UNINOR,UW,3571,GSM,Please route Through BTSL (AES),HLR1,
8446,TATA_GSM,MH,3281,GSM,Please route Through BTSL (AES),HLR2,
8447,VODAFONE,DL,4108,GSM,Please route Through BTSL (AES),HLR2,
8448,RELIANCE_CDMA,MB,3122,CDMA,Please route Through BTSL (AES),HLR2,
8449,IDEA,UW,3083,GSM,Please route Through BTSL (AES),HLR1,
8453,MTS,KA,3168,CDMA,Please route Through BTSL (AES),HLR2,
8459,MTS,DL,3163,CDMA,Please route Through BTSL (AES),HLR2,
8460,TATA_GSM,GJ,3288,GSM,Please route Through BTSL (AES),HLR3,
8469,VODAFONE,GJ,4106,GSM,Please route Through BTSL (AES),HLR3,
8486,VODAFONE,AS,4125,GSM,Please route Through BTSL (AES),HLR1,
8489,VODAFONE,TN,4101,GSM,Please route Through BTSL (AES),CH HLR1,
8500,BSNL_GSM,AP,2392,GSM,Please route Through BTSL (AES),HLR2,
8508,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
8509,RELIANCE_GSM,WB,3151,GSM,Please route Through BTSL (AES),HLR3,
8511,AIRTEL,GJ,2728,GSM,Please route Through BTSL (AES),HLR3,
8521,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),"85210-1 HLR2, 85212-4 HLR3, 85215-7 HLR4, 85218-9 HLR6",
8526,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
8527,AIRTEL,DL,2727,GSM,Please route Through BTSL (AES),HLR2,
8528,HFCL_GSM,PB,3062,GSM,Please route Through BTSL (AES),HLR2,
8529,VEDIOCON,HR,3032,GSM,Please route Through BTSL (AES),HLR1,
8530,VEDIOCON,GJ,3031,GSM,Please route Through BTSL (AES),HLR3,
8547,BSNL_GSM,KL,2491,GSM,Please route Through BTSL (AES),HLR1,
8553,AIRCEL,KA,2105,GSM,Please route Through BTSL (AES),HLR2,
8574,AIRCEL,UE,3059,GSM,Please route Through BTSL (AES),HLR1,
8575,AIRCEL,NE,3056,GSM,Please route Through BTSL (AES),HLR1,
8590,RELIANCE_GSM,KL,3136,GSM,Please route Through BTSL (AES),HLR1,
8591,RELIANCE_GSM,PB,3139,GSM,Please route Through BTSL (AES),HLR2,
8595,RELIANCE_CDMA,DL,3112,CDMA,Please route Through BTSL (AES),HLR2,
8597,RELIANCE_CDMA,BH,3111,CDMA,Please route Through BTSL (AES),HLR5,
8600,AIRTEL,MH,3006,GSM,Please route Through BTSL (AES),HLR4,
8601,VODAFONE,UE,4104,GSM,Please route Through BTSL (AES),HLR1,
8602,TATA_GSM,MP,3295,GSM,Please route Through BTSL (AES),HLR3,
8603,TATA_GSM,BH,3285,GSM,Please route Through BTSL (AES),HLR5,
8604,TATA_GSM,UE,3401,GSM,Please route Through BTSL (AES),HLR1,
8605,IDEA,MH,3075,GSM,Please route Through BTSL (AES),HLR2,
